Colonne,Type,Valeurs_Manquantes,Pourcentage_Manquant,Valeurs_Uniques,Exemples
has_private_parking,float64,21742,100.0,0,N/A
door,float64,21742,100.0,0,N/A
portal,float64,21742,100.0,0,N/A
is_furnished,float64,21742,100.0,0,N/A
rent_price_by_area,float64,21742,100.0,0,N/A
longitude,float64,21742,100.0,0,N/A
latitude,float64,21742,100.0,0,N/A
has_public_parking,float64,21742,100.0,0,N/A
is_kitchen_equipped,float64,21742,100.0,0,N/A
are_pets_allowed,float64,21742,100.0,0,N/A
sq_mt_allotment,float64,20310,93.41,356,22.0
n_floors,float64,20305,93.39,6,2.0
has_garden,object,20186,92.84,1,True
has_balcony,object,18421,84.73,1,True
has_green_zones,object,17685,81.34,1,True
is_accessible,object,17668,81.26,1,True
has_pool,object,16571,76.22,1,True
street_number,object,15442,71.02,420,64
has_storage_room,object,14044,64.59,1,True
parking_price,float64,14023,64.5,84,0.0
is_parking_included_in_price,object,14023,64.5,2,True
sq_mt_useful,float64,13514,62.16,408,60.0
has_terrace,object,12194,56.08,1,True
built_year,float64,11742,54.01,155,1960.0
has_ac,object,10531,48.44,1,True
is_orientation_north,object,10384,47.76,2,False
is_orientation_south,object,10384,47.76,2,False
is_orientation_west,object,10384,47.76,2,True
is_orientation_east,object,10384,47.76,2,False
has_fitted_wardrobes,object,8343,38.37,1,True
has_central_heating,object,8134,37.41,2,False
has_individual_heating,object,8134,37.41,2,True
street_name,object,5905,27.16,6177,Calle de Godella
raw_address,object,5465,25.14,9666,"Calle de Godella, 64"
is_exterior,object,3043,14.0,2,True
floor,object,2607,11.99,19,3
has_lift,object,2386,10.97,2,False
is_floor_under,object,1170,5.38,2,False
is_new_development,object,992,4.56,2,False
house_type_id,object,391,1.8,4,HouseType 1: Pisos
sq_mt_built,float64,126,0.58,678,64.0
n_bathrooms,float64,16,0.07,16,1.0
energy_certificate,object,0,0.0,10,D
has_parking,bool,0,0.0,2,False
Unnamed: 0,int64,0,0.0,21742,0
id,int64,0,0.0,21742,21742
is_buy_price_known,bool,0,0.0,1,True
buy_price_by_area,int64,0,0.0,5643,1328
buy_price,int64,0,0.0,2403,85000
is_rent_price_known,bool,0,0.0,1,False
rent_price,int64,0,0.0,1671,471
operation,object,0,0.0,1,sale
neighborhood_id,object,0,0.0,126,Neighborhood 135: San Cristóbal (1308.89 €/m2) - District 21: Villaverde
is_exact_address_hidden,bool,0,0.0,2,False
n_rooms,int64,0,0.0,19,2
subtitle,object,0,0.0,146,"San Cristóbal, Madrid"
title,object,0,0.0,10736,"Piso en venta en calle de Godella, 64"
is_renewal_needed,bool,0,0.0,2,False
