Unnamed: 0,sq_mt_built,n_rooms,n_bathrooms,floor,buy_price,is_renewal_needed,is_new_development,built_year,has_ac,has_lift,is_exterior,has_garden,has_pool,has_terrace,has_storage_room,energy_certificate,has_parking,neighborhood,district,neigh_price_m2,house_type
0,64.0,2,1.0,3.0,85000,0,0,1960.0,1,0,1,0,0,0,0,4.0,0,San Cristóbal,Villaverde,1308.89,Pisos
1,70.0,3,1.0,4.0,129900,1,0,1970.0,0,1,1,0,0,1,0,3.0,0,Los Ángeles,Villaverde,1796.68,Pisos
2,94.0,2,2.0,1.0,144247,0,0,1970.0,0,1,1,0,0,0,1,3.0,0,San Andrés,Villaverde,1617.18,Pisos
3,64.0,2,1.0,0.0,109900,0,0,1955.0,0,1,1,0,0,0,1,3.0,0,San Andrés,Villaverde,1617.18,Pisos
4,108.0,2,2.0,4.0,260000,0,0,2003.0,1,1,1,0,1,0,1,3.0,1,Los Rosales,Villaverde,1827.79,Pisos
5,126.0,4,2.0,3.0,195000,0,0,1981.0,0,0,1,0,0,1,0,3.0,1,San Andrés,Villaverde,1617.18,Pisos
6,120.0,5,2.0,1.0,190000,0,0,1970.0,1,0,1,0,1,1,1,2.0,1,San Andrés,Villaverde,1617.18,Pisos
7,125.0,3,2.0,2.0,198500,0,0,1970.0,1,0,1,0,0,1,0,3.0,0,San Andrés,Villaverde,1617.18,Pisos
8,84.0,3,2.0,1.0,212000,0,0,1970.0,1,1,1,0,1,0,1,2.0,1,Butarque,Villaverde,2197.8,Pisos
9,85.0,2,1.0,7.0,131400,1,0,1950.0,0,0,1,0,0,1,0,3.0,0,Los Rosales,Villaverde,1827.79,Pisos
10,69.0,2,2.0,2.0,118000,1,0,1963.0,0,0,1,0,0,1,0,3.0,0,San Andrés,Villaverde,1617.18,Pisos
11,122.0,3,2.0,6.0,246900,0,0,1970.0,1,1,0,0,1,0,1,3.0,1,Butarque,Villaverde,2197.8,Pisos
12,123.0,3,2.0,4.0,195000,0,0,1992.0,1,1,1,0,0,0,0,4.0,0,Los Rosales,Villaverde,1827.79,Pisos
13,109.0,3,2.0,3.0,205000,0,0,1983.0,0,1,1,0,0,1,1,3.0,0,Los Ángeles,Villaverde,1796.68,Pisos
14,64.0,3,1.0,3.0,72000,0,0,1960.0,0,0,1,0,0,1,0,2.0,0,San Cristóbal,Villaverde,1308.89,Pisos
15,115.0,3,1.0,3.0,160000,0,0,1970.0,1,0,1,0,0,1,1,3.0,0,Los Rosales,Villaverde,1827.79,Pisos
16,115.0,3,1.0,1.0,184900,0,0,1970.0,1,0,1,0,0,1,0,3.0,0,Los Rosales,Villaverde,1827.79,Pisos
17,65.0,3,1.0,4.0,90000,0,0,1970.0,0,0,1,0,0,1,0,3.0,0,Los Ángeles,Villaverde,1796.68,Pisos
18,75.0,3,1.0,3.0,129900,1,0,1970.0,0,1,1,0,0,1,0,3.0,0,San Andrés,Villaverde,1617.18,Pisos
19,60.0,2,1.0,0.0,94900,0,0,1970.0,1,0,1,0,0,0,0,3.0,0,San Cristóbal,Villaverde,1308.89,Pisos
20,60.0,2,1.0,2.0,89900,0,0,1970.0,0,0,1,0,0,1,0,3.0,0,San Andrés,Villaverde,1617.18,Pisos
