sq_mt_built,n_rooms,n_bathrooms,floor,buy_price,is_renewal_needed,is_new_development,built_year,has_ac,has_lift,is_exterior,has_garden,has_pool,has_terrace,has_storage_room,energy_certificate,has_parking,neighborhood,district,neigh_price_m2,house_type
64.0,2,1.0,3.0,85000,0,0,1960.0,1,0,1,0,0,0,0,4.0,0,san cristóbal,villaverde,1308.89,Pisos
70.0,3,1.0,4.0,129900,1,0,1970.0,0,1,1,0,0,1,0,3.0,0,los ángeles,villaverde,1796.68,Pisos
94.0,2,2.0,1.0,144247,0,0,1970.0,0,1,1,0,0,0,1,3.0,0,san andrés,villaverde,1617.18,Pisos
64.0,2,1.0,0.0,109900,0,0,1955.0,0,1,1,0,0,0,1,3.0,0,san andrés,villaverde,1617.18,Pisos
108.0,2,2.0,4.0,260000,0,0,2003.0,1,1,1,0,1,0,1,3.0,1,los rosales,villaverde,1827.79,Pisos
126.0,4,2.0,3.0,195000,0,0,1981.0,0,0,1,0,0,1,0,3.0,1,san andrés,villaverde,1617.18,Pisos
120.0,5,2.0,1.0,190000,0,0,1970.0,1,0,1,0,1,1,1,2.0,1,san andrés,villaverde,1617.18,Pisos
125.0,3,2.0,2.0,198500,0,0,1970.0,1,0,1,0,0,1,0,3.0,0,san andrés,villaverde,1617.18,Pisos
84.0,3,2.0,2.0,212000,0,0,1970.0,1,1,1,0,1,0,1,2.0,1,butarque,villaverde,2197.8,Pisos
85.0,2,1.0,7.0,131400,1,0,1950.0,0,0,1,0,0,1,0,3.0,0,los rosales,villaverde,1827.79,Pisos
69.0,2,2.0,2.0,118000,1,0,1963.0,0,0,1,0,0,1,0,3.0,0,san andrés,villaverde,1617.18,Pisos
122.0,3,2.0,6.0,246900,0,0,1970.0,1,1,0,0,1,0,1,3.0,1,butarque,villaverde,2197.8,Pisos
123.0,3,2.0,4.0,195000,0,0,1992.0,1,1,1,0,0,0,0,4.0,0,los rosales,villaverde,1827.79,Pisos
109.0,3,2.0,3.0,205000,0,0,1983.0,0,1,1,0,0,1,1,3.0,0,los ángeles,villaverde,1796.68,Pisos
64.0,3,1.0,3.0,72000,0,0,1960.0,0,0,1,0,0,1,0,2.0,0,san cristóbal,villaverde,1308.89,Pisos
115.0,3,1.0,3.0,160000,0,0,1970.0,1,0,1,0,0,1,1,3.0,0,los rosales,villaverde,1827.79,Pisos
115.0,3,1.0,1.0,184900,0,0,1970.0,1,0,1,0,0,1,0,3.0,0,los rosales,villaverde,1827.79,Pisos
65.0,3,1.0,4.0,90000,0,0,1970.0,0,0,1,0,0,1,0,3.0,0,los ángeles,villaverde,1796.68,Pisos
75.0,3,1.0,3.0,129900,1,0,1970.0,0,1,1,0,0,1,0,3.0,0,san andrés,villaverde,1617.18,Pisos
60.0,2,1.0,0.0,94900,0,0,1970.0,1,0,1,0,0,0,0,3.0,0,san cristóbal,villaverde,1308.89,Pisos
60.0,2,1.0,2.0,89900,0,0,1970.0,0,0,1,0,0,1,0,3.0,0,san andrés,villaverde,1617.18,Pisos
95.0,4,2.0,4.0,144900,0,0,1970.0,1,0,1,0,0,0,0,3.0,0,los ángeles,villaverde,1796.68,Pisos
76.0,3,1.0,2.0,110000,1,0,1970.0,0,0,1,0,0,1,0,3.0,0,san andrés,villaverde,1617.18,Pisos
51.0,2,1.0,-1.0,93000,0,0,1970.0,0,0,0,0,0,0,0,3.0,0,san andrés,villaverde,1617.18,Pisos
